id,text
1558548656,A 20-year-old intensive care nurse killed herself working at King's College Hospital in London.
1589618064,"The Abu Dhabi Stock Exchange yesterday included the $7 billion World Medium-Term Bond Program issued by the Emirate. The market reported, in a recent circular, that three-class bonds, the first $2 billion with a fixed interest of 2.5%, were worth 16 April 2025, and the second one remained."
1610583998,The city's princess is ending up solving the problem of overcrowding in labor housing.
1560800516,"The secretariats and municipalities have begun to require shopping centres to make health-distance signals between shoppers; in order to ensure their safety, and to prevent infection among shopkeepers, ..."
1592085965,"Projected on 29 April, Omani aviation continues its tireless efforts and endeavours to contribute to the provision of all basic needs, food and supplies to markets."
1559203702,Neither the transfer institutions nor the banks are open: Lebanese money is lost
1539225225,"The opening of the festival was marked by the presence of a large number of parents, kindergarten managers, and representatives from the education delegates. The inauguration saw a variety of performances and dances, all of which were aimed at messages of peace and humanity."
1493897333,"Tehran (ISNA). A formal discussion session was held between Iran &apos; s First Vice-President Yitzhak Jahangir and the Syrian Government delegation, under the chairmanship of Prime Minister Heith, on bilateral relations between the Islamic Republic of Iran and Syria and on major bilateral and regional issues."
1609826078,Riyadh: 39 beggars seized and 22 arrested in violation of residency and employment regulations
1558547800,"The State of the United Arab Emirates strongly condemned the terrorist attack against the Hindu Sikh temple in the central Afghan capital, Kabul, which killed a number of innocent people and injured others."
1486991425,Reader Hussein Sayed Mohamed sent a call for help through the citizen's press service on the seventh day demanding payment of his son 's pension to those suffering from mental and mental retardation.
1559204879,"Comprehensive coverage of major United Arab Emirates, Gulf, Arab and global events in economics, politics, drugs, culture and sports, and opinion articles for leading writers and analysts"
1604257731,"The price index for food commodities in the Emirate of Abu Dhabi fell by 0.2% and by 1% for non-food items during the first week of May, compared to the end of April."
1552514260,13 years in prison for the daughter of Uzbekistan's first president.
1644102363,We value the role of Al-Azhar as a beacon of light and moderation for the Arab and Islamic worlds.
1560189704,Russian President Vladimir Putin has signed a law that allows the Government to freeze the prices of medicines and medical supplies for a period of no longer ...
1594533205,"The Egyptian Federation of Investors Associations, headed by Mohamed Farid Khamis, martyrs of the Abbar homeland in the well of Al-Abed, North Sinai, has been warned and issued an official statement today to mourn the martyrs, who were killed in cold blood by brutal terror against ..."
