id,text
1484194073,"Dülmen. Two soloists, one orchestra: that was the occupation of the 23rd Dulmen New Year's Eve concert. The whole evening revolved around well-known opera works - and they were supposed to be among the audience ..."
1514359249,Health insurance companies are supposed to pay the association's supplies in the care. The proposal of the Federal Council is subject to resistance.
1484945374,TV-Swimming: Young people started in Untertürkheim
1486804755,<p>Mainz (dpa/lrs) - 6378 Rheinland-Pfalz pupils were able to get to know peers from other countries in 2018 through encounter programs.
1512958628,Young people: Musikverein Schlachtenhaus-Hofen is currently looking for new active members
1484249215,"Düsseldorf (ots) - Deutsche Bahn is expanding its funding programmes for refugees. Since 2015, the railway has created 400 places for the refugees, said a group spokesperson of the Düsseldorfer ""Rheinische"
1499205457,"The ""Police Ruf"" from Rostock was a successful scavenger hunt - a criticism."
1518975797,"One of the most dangerous diseases in the Congo is raging in one of Africa's most unstable regions. But finally, helpers seem to be getting Ebola under control, but the WHO does not stop the emergency."
1554229117,The fleet of the small fliers rests due to virus transmission risk. The company is already checking when the scooters could be used again.
1562738094,"Dua Lipa was highly praised for her debut album three years ago. Now the Grammy winner is following up with ""Future Nostalgia"". On calm ballads, the Brit has no desire at all."
1484064105,"Munich (dpa/lby) - According to the police, a 14-year-old Municher has targeted two officers with a gun and pulled several triggers..."
1551861566,"Statement by Bernd Meurer, President of the Federal Association of Private Providers of Social Services (bpa), on the Corona crisis: "
1567548563,"In Austria, the Coronavirus SARS-CoV-2 has been reported on Friday, 9.30 a.m., 11.348 people."
1558574795,ABO Wind AG: Inclusion in the free circulation of the Munich Stock Exchange DGAP-News: Abo wind AG / Keyword(s): IPO Abortion of aloof wind Ltd: Integration into the open market of Munich stock exchange 25.03.2020 / 14:00 For the
1539105008,"DJ MORNING BRIEFING - Germany/Europe The market overview in the morning, compiled by Dow Jones Newswires. +++++ TAGESTHEMA I ++2++ The International Monetary Fund (IMF) has the"
