id,text
1647422140,Click and see more.
1621474981,"The owners of Dolnośląskie monuments submitted applications for 32 million PLN, but only 4.5 million zlotys were to be divided."
1484091867,The World Anti-Doping Agency (WADA) has published a new list of prohibited substances. You can read about the changes that entered into force on 1 January 2020 on the organization's website.
1564459788,The state television has started a series of lessons from TVP. The first of them shocks with stupidity.
1483980126,Polsat shared the data from last night. Tragic information pertains to 6 people killed and 41 wounded.
1563216958,Click and see more.
1642711611,"Rafał Trzaskowski sent a letter to Andrzej Duda asking about the purpose of his Wednesday visit to the United States. According to politics, public opinion should know whether there are, among others, plans to transfer nuclear weapons to Poland or build a nuclear reactor. In Lublin, the candidate of the Civic Coalition assured that if he became president, he would do anything to restore the government's in vitro program."
1576140947,"This year's Easter for many people will be unique - among other things, because due to the restrictions caused by the pandemic of coronavirus they will meet with"
1500886997,"Climate protection is very important, but we also need to act to protect the stability of the Polish economy,"" said President Andrzej Duda on Tuesday in Davos."
1483893903,The City Transport Board decided in the last hours of the old year that the first constant change in communication in 2020 would be to direct suburban buses to the newest metro station in Targówek.
1635220766,Zielona Góra police officers in cooperation with their colleagues from the KMP in Gdansk arrested a man who last week threatened a Ukrainian citizen working as a waiter in one of the green Mountain restaurants. The man had already heard the accusation of a prosecutor.
1596039983,"series, new shows, series"
1543850069,Campaign spokesman Andrzej Duda Adam Bielan responded to the entry of Marshal Tomasz Grodzki on the Koravirus.
1483900954,"From January 8th, paper recipes will cease to apply. Instead, doctors will be required to issue an e-prescription which ""we will always have at hand"" - comments the spokesman of the Ministry of Health Wojciech"
1586272962,"WTI oil quotations fell even below USD 7 per barrel. Ultimately, the scale of the discount exceeded 40%. After turbulence accompanying rolling..."
1641810350,"The budget will be revised by the end of July,"" said Tadeusz Kościński on Monday at the EEC Online Finance Minister, stating that it is not due to financial problems of the state, but to the need to create an impulse for development."
1518809274,Last year the profit was 64% lower than the year before.
1483964677,"Latest news about TVP, public television, staff changes, results of ratings, programme announcements, televisionP presenters. Virtual Media.pl"
1517143296,"In my opinion, the resolution issued with the participation of a judge suspended in official acts has no power,"" said the President of the District Court in Olsztyn Maciej Nawacki, referring to the involvement of Judge Paweł Juszczyszyn in the College of Regional Courts in Olsztyn."
1530033289,"A good friend of Kob Bryant's, Michael Jordan, was not missing at the last farewell. The basketball player entered the stage weeping."
1581890880,"Kasia Kowalska gave new information on her daughter's health to her fans, and it turns out that treatment at Ola hospital in London is finally starting to recover."
1622107953,"Onet: daily source of information for millions of Poles - news from the country and the world 24/7, weather, sport, business, moto, entertainment. Be up to date with Onet!"
1483806021,"I don't want to and I'm not predicting a war with Iran,"" said President Donald Trump on Tuesday night during a conversation with journalists. However, the earlier statements of the American leader in Iran were more buńchuczny. He said that Tehran would ""pay a high price""."
1606086008,"The media corporation of the New York Times, which publishes a newspaper with the same name, confirms the accuracy of publication regarding statistics of Covid-19 in Russia, said in a conversation..."
1637277809,"On Tuesday (16.06.2020) in the district of Działdowski, an unknown unfamiliar culprit called from a reserved telephone number to a landline number belonging to the resident of the District of Podiałdowski, deceived him by claiming to be a police officer, and then persuaded a man to participate in police action involving provocation against bank data offenders. To achieve his goal, he persuades a senior officer to establish an online account [...]"
1564198980,"President of Belarus Alexander Lukashenka confirmed the death of the first patient in the country on Tuesday because of Covid-19. According to the head of state, there are no reasons for moving presidential elections due to epidemics."
1597726773,Contents: 1. Current Report2. MESSAGE (ENGLISH VERSION) 3. INFORMATION ON THE SUBMISSION4. SIGNATURES OF PERSONS REPRESENTING THE COMPANY THE COMMISSION OF FINANCIAL SUPERVISION Current report no. 14 / 2020 Date of production:...
1615472991,"The Ministry of Health informed on Sunday about 395 new, confirmed laboratory tests, cases of infection"
1483793594,The body of a 42-year-old man was taken from Niedacki Lake in the old-gard district.
1483943103,"""Harry Potter and the Philosopher's Stone"" will not be discussed in Polish language classes in the School-Preschool Complex in Lisów in Herba. This decision was made after receiving the petition from parents, the director of the institution, Katarzyna Adamik. Parents are concerned about ""occult, initiation, esoteric and even satanic practices."""
1604630929,"Especially on weekends, the new attraction of the forest near the Maltese Lake enjoys unfailing popularity."
1484144092,"At the beginning of 2020, Estonia's two-year term of office as a permanent elected member of the United Nations Security Council begins. Estonia, a country from the Eastern European region, replaced Poland, whose term expired at the end of 2"
1585226122,"President Donald Trump wished North Korean leader Kim Jong Un ""good luck"" and recovery, following reports suggesting that North Korea's dictator is in a critical state after heart surgery. According to the US President, peace between the United States and Northern Korea was only possible thanks to his good relations with KIM Dzong Un."
1589934116,The President of the Polish Post Tomasz Zdzikot announced that he would appear in the Senate for consultations related to the draft bill on the correspondence form of conducting the presidential elections.
1630924482,Click and see more.
1483932534,"The New Year's Eve of Dreams TVP gathered in Zakopane a small crowd of stars. Among them was Viki Gabor, this year the winner of Eurovision Junior. Unfortunately, the organizers did not show off and during the performance of the young singer they failed."
1484073754,"Since 1 January, the only 24-hour pharmacy in Gliwice is the Cito Pharmacy at 26 Górny Wałów Street - informed the Department of Health and Social Affairs of the Municipal Office. Two other pharmacy operates as a weekly facility."
1559747835,"The Sejm concluded its Thursday session. Members adopted amendments to the Rules allowing work under the conditions of the outbreak of coronavir. 368 people took part in the vote. ""For"" was 250, ""against"" 104, and 14 abstentions. During the discussion there was no lack of emotion."
1483789706,"Pope Francis lost his temper? One of the women grabbed him so hard, and she pulled him out of pain."
1483787049,"The US Ambassador in Poland Georgette Mosbacher wished Poles for 2020 to bring a lot of happiness, health and satisfaction at any time. She is convinced that in relations between our countries 2020, the year will be even better than the ""fantastic year 2019."""
1643460794,The emergency situation in Bulgaria was extended until 15 July - decided by the government at its meeting on Wednesday.
1580308212,"The government mistakenly banned the cemetery, and the penalty of PLN 30,000 could also be paid for entering the grass on the street."
